id	label
Q1324800	Elaine Dundy
Q7781738	Theodore Conover
Q15500212	Mick Young
Q5225421	Darryl Neudorf
Q15039392	Billy and Percy
Q2640483	Aldin Čajić
Q2414932	Regulate...G Funk Era
Q5255573	The Hunt for Red October
Q1153562	Erik Brann
Q12130	Brittany
Q598070	Alumni Stadium
Q972869	Estanislao Zuleta
Q4256394	Richard Leveridge
Q712418	(7884) 1993 HH7
Q4706735	Alan Goodall
Q2624658	The Nine Lives of Fritz the Cat
Q314384	Huey Long
Q950284	3699 Milbourn
Q55239	Lego Star Wars II: The Original Trilogy
Q12332784	Q12332784
Q314467	Aenesidemus
Q3605812	Adrien Robinson
Q1165	Bihar
Q262802	Christine Sinclair
Q1015672	Whanganui
Q5489546	Frank Sherwin
Q1261570	Frank Gifford
Q2535482	Portrait of Andrea Navagero and Agostino Beazzano
Q170790	mathematician
Q2788699	Nicole Forester
Q950075	The Death Gate Cycle heptalogy
Q6760046	Margaret Young Taylor
Q434142	Caspar Weinberger
Q207846	King Eider
Q2745595	Dead Leaves
Q1748183	Jean-Pierre Denis
Q5557751	Reidel Anthony
Q753494	Doggystyle
Q3540210	Nanjing Dashengguan Yangtze River Bridge
Q4952671	Boys Life 6
Q1398997	Fay Grim
Q7152926	Paul Peterson
Q1860320	Matthias de l'Obel
Q576501	Garfield and Friends
Q503166	Andrejs Pumpurs
Q2706880	Sal Maroni
Q339906	happy hardcore
Q2612979	Touch
Q6261477	John Twiggs Myers
Q718389	James Storm
Q4908553	Bill Cooney
Q611584	António de Abreu
Q213609	Ian Paice
Q1600880	Heinz Schall
Q1144907	Kranky Records
Q7749530	The Magician's Private Library
Q1989792	Bassirou Dembélé
Q5295005	Donald Prentice Booth
Q17028770	Revolt of the Barbarians
Q2281767	The Count of Monte Cristo
Q684021	Baaba Maal
Q652420	Reef
Q6292795	José Luis Mamone
Q2452472	Mega Man ZX Advent
Q6118803	Jacob Jeffries Band
Q5387709	Eric Watson
Q3985818	The Beast of Bray Road
Q7908017	Václav Žáček
Q6239623	John Hollinger
Q447863	Joseph Satoshi Fukahori
Q7204222	Please Help the Pore
Q57075	Fritz Haber
Q7544363	Smeep Kang
Q339391	The Electric Prunes
Q1505317	The School of Flesh
Q2040546	MySpace Records
Q1194282	The Sea Hawk
Q1275321	Wang Bo
Q7623114	Streets...
Q6170084	Jean A. Stuntz
Q7564411	Soul of the Samurai
Q11301813	Q11301813
Q90910	Viktor de Kowa
Q1943965	(85627) 1998 HP151
Q361439	Mario Regueiro
Q4198159	Ismail Abdul Rahman
Q7183662	Philip H. Frohman
Q7749964	The Man Who Never Missed
Q5111424	Christmas Songs
Q766754	Inky Mark
Q10514130	Jerry Zirsanga
Q1361018	Uzak
Q16145569	Jim Muhwezi
Q959730	Shi Xin Hui
Q1305608	Leslie Bricusse
Q5335461	Ed Strelecki
Q962971	Timme Rosenkrantz
Q14540823	Ever Ever After
Q73394	Gottfried Graf von Bismarck-Schönhausen
Q4909920	Bill Lindsey
Q504428	Caswell County
Q5280850	Dirk Muschiol
Q1885945	Meteor
Q2162068	Rogier Stoffers
Q4674042	Acid Factory
Q1192043	Roman–Parthian Wars
Q122741	Sega
Q6879973	Mist King Urth
Q7372587	Roy Bonisteel
Q872246	Anna Dostoyevskaya
Q2613880	21472 Stimson
Q373651	Michael Ridpath
Q1065531	Jackson
Q5378743	Engrave
Q4761471	Andy White
Q3856	Nicosia
Q382841	The Boat Is Full
Q647985	Marie-Eve Nault
Q1655520	Ian Gow
Q1308637	The Purchase Price
Q7294614	Rarua Dikana
Q207375	ER
Q274166	Carlota Perez
